,name,team,apps,mins,goals,assists,xG,xA,xG90,xA90,year,league
241,Davy Pröpper,Brighton,30,2554,1,1,0.95,1.22,0.03,0.04,2018,1
242,Dale Stephens,Brighton,30,2485,1,1,0.25,0.59,0.01,0.02,2018,1
243,Phil Foden,Manchester City,13,316,1,0,2.25,1.07,0.64,0.31,2018,1
244,Isaac Hayden,Newcastle United,25,1865,1,4,0.86,2.45,0.04,0.12,2018,1
245,Terence Kongolo,Huddersfield,32,2728,1,1,1.42,0.84,0.05,0.03,2018,1
246,Victor Lindelöf,Manchester United,30,2604,1,1,0.84,1.58,0.03,0.05,2018,1
247,Davinson Sánchez,Tottenham,23,1943,1,1,1.62,0.62,0.08,0.03,2018,1
248,Juan Foyth,Tottenham,12,889,1,0,0.70,0.79,0.07,0.08,2018,1
249,Beram Kayal,Brighton,18,937,1,1,0.29,1.18,0.03,0.11,2018,1
250,Eddie Nketiah,Arsenal,5,54,1,0,0.27,0.13,0.45,0.22,2018,1
251,Michael Obafemi,Southampton,6,131,1,1,1.89,0.34,1.3,0.23,2018,1
252,Yerry Mina,Everton,13,891,1,0,0.75,0.14,0.08,0.01,2018,1
253,Harvey Barnes,Leicester,16,1014,1,2,3.62,1.93,0.32,0.17,2018,1
254,Fred,Manchester United,17,1045,1,1,0.90,0.95,0.08,0.08,2018,1
255,Sean Morrison,Cardiff,34,3043,1,3,5.05,3.46,0.15,0.1,2018,1
256,Danny Ward,Cardiff,14,426,1,0,0.61,0.29,0.13,0.06,2018,1
257,Tom Cairney,Fulham,31,2207,1,1,1.15,3.00,0.05,0.12,2018,1
258,Ken Sema,Watford,17,772,1,2,0.87,0.77,0.1,0.09,2018,1
259,Ryan Fredericks,West Ham,15,1077,1,0,0.53,0.51,0.04,0.04,2018,1
260,Fabián Balbuena,West Ham,23,2013,1,0,2.52,0.15,0.11,0.01,2018,1
261,Kenneth Zohore,Cardiff,19,735,1,1,1.62,0.91,0.2,0.11,2018,1
262,Bernard,Everton,34,2146,1,3,2.69,3.24,0.11,0.14,2018,1
263,Sean Longstaff,Newcastle United,9,694,1,0,0.75,0.60,0.1,0.08,2018,1
264,Kadeem Harris,Cardiff,13,346,1,0,0.89,0.51,0.23,0.13,2018,1
265,Aron Gunnarsson,Cardiff,28,2296,1,1,2.36,1.74,0.09,0.07,2018,1
266,Juninho Bacuna,Huddersfield,21,1418,1,0,0.80,1.40,0.05,0.09,2018,1
267,Jannik Vestergaard,Southampton,23,2033,0,0,0.68,0.53,0.03,0.02,2018,1
268,Bernd Leno,Arsenal,32,2833,0,0,0.00,0.00,0.0,0.0,2018,1
269,Andreas Christensen,Chelsea,8,614,0,0,0.00,0.00,0.0,0.0,2018,1
270,Håvard Nordtveit,Fulham,5,361,0,1,0.00,0.12,0.0,0.03,2018,1
271,Elias Kachunga,Huddersfield,20,1181,0,0,0.98,0.24,0.07,0.02,2018,1
272,Sead Kolasinac,Arsenal,24,1897,0,5,0.41,6.74,0.02,0.32,2018,1
273,Artur Boruc,Bournemouth,12,1080,0,0,0.00,0.00,0.0,0.0,2018,1
274,Simon Francis,Bournemouth,17,1220,0,2,0.12,0.60,0.01,0.04,2018,1
275,Andrew Surman,Bournemouth,18,1440,0,0,0.27,0.48,0.02,0.03,2018,1
276,Mamadou Sakho,Crystal Palace,27,2418,0,0,0.83,0.19,0.03,0.01,2018,1
277,Adam Lallana,Liverpool,13,459,0,0,0.30,0.54,0.06,0.11,2018,1
278,Petr Cech,Arsenal,7,587,0,0,0.00,0.00,0.0,0.0,2018,1
279,Héctor Bellerín,Arsenal,19,1539,0,5,0.96,2.46,0.06,0.14,2018,1
280,Mohamed Elneny,Arsenal,8,383,0,0,0.45,0.22,0.11,0.05,2018,1
281,Wayne Hennessey,Crystal Palace,18,1576,0,0,0.00,0.00,0.0,0.0,2018,1
282,Scott Dann,Crystal Palace,10,658,0,1,0.20,1.16,0.03,0.16,2018,1
283,Pape Souaré,Crystal Palace,1,1,0,0,0.00,0.00,0.0,0.0,2018,1
284,Jason Puncheon,Crystal Palace,11,389,0,0,0.61,0.84,0.14,0.2,2018,1
285,Connor Wickham,Huddersfield,6,56,0,1,0.34,0.39,0.55,0.63,2018,1
286,Bakary Sako,Crystal Palace,4,19,0,0,0.00,0.00,0.0,0.0,2018,1
287,Julian Speroni,Crystal Palace,1,90,0,0,0.00,0.00,0.0,0.0,2018,1
288,Adrian Mariappa,Crystal Palace,26,1921,0,0,1.39,0.70,0.06,0.03,2018,1
289,Martin Kelly,Watford,13,1109,0,0,0.77,0.02,0.06,0.0,2018,1
290,Cheikhou Kouyaté,Crystal Palace,31,1900,0,2,1.63,0.89,0.08,0.04,2018,1
291,Aaron Cresswell,West Ham,20,1586,0,1,0.42,0.94,0.02,0.05,2018,1
292,Andy Carroll,West Ham,12,438,0,0,1.98,0.28,0.41,0.06,2018,1
293,Victor Moses,Chelsea,2,24,0,0,0.00,0.11,0.0,0.4,2018,1
294,Pedro Obiang,West Ham,24,1112,0,1,0.56,1.14,0.05,0.09,2018,1
295,David de Gea,Manchester United,38,3420,0,0,0.00,0.00,0.0,0.0,2018,1
296,Timothy Fosu-Mensah,Fulham,12,797,0,0,0.08,0.37,0.01,0.04,2018,1
297,Marcos Rojo,Manchester United,5,208,0,0,0.24,0.00,0.1,0.0,2018,1
298,Morgan Schneiderlin,Everton,14,831,0,1,0.10,0.80,0.01,0.09,2018,1
299,Matteo Darmian,Manchester United,6,447,0,0,0.03,0.05,0.01,0.01,2018,1
300,Sebastian Prödl,Watford,1,13,0,0,0.00,0.00,0.0,0.0,2018,1
301,Miguel Britos,Watford,3,185,0,0,0.00,0.00,0.0,0.0,2018,1
302,John Stones,Manchester City,24,1763,0,0,0.16,0.22,0.01,0.01,2018,1
303,Leighton Baines,Everton,6,375,0,0,0.08,0.08,0.02,0.02,2018,1
304,James McCarthy,Everton,1,11,0,0,0.00,0.00,0.0,0.0,2018,1
305,Oumar Niasse,Cardiff,18,1014,0,0,3.39,0.77,0.3,0.07,2018,1
306,Nathaniel Clyne,Everton,18,1259,0,1,0.26,0.10,0.02,0.01,2018,1
307,Alberto Moreno,Bournemouth,2,156,0,0,0.02,0.14,0.01,0.08,2018,1
308,Joe Hart,Liverpool,19,1710,0,0,0.00,0.02,0.0,0.0,2018,1
309,Pablo Zabaleta,Liverpool,26,2099,0,1,0.16,1.03,0.01,0.04,2018,1
310,Nicolás Otamendi,Manchester City,18,1233,0,0,1.18,0.29,0.09,0.02,2018,1
311,Willy Caballero,Chelsea,2,180,0,0,0.00,0.00,0.0,0.0,2018,1
312,Antonio Valencia,Manchester United,6,465,0,0,0.04,0.53,0.01,0.1,2018,1
313,Marouane Fellaini,Manchester United,14,728,0,1,0.73,0.20,0.09,0.03,2018,1
314,Alex McCarthy,Southampton,25,2250,0,0,0.00,0.00,0.0,0.0,2018,1
315,Luke Dreher,Crystal Palace,1,1,0,0,0.00,0.00,0.0,0.0,2018,1
316,Hugo Lloris,Tottenham,33,2970,0,0,0.00,0.00,0.0,0.0,2018,1
317,Toby Alderweireld,Tottenham,34,2926,0,0,0.99,0.49,0.03,0.02,2018,1
318,Danny Rose,Tottenham,26,1798,0,3,0.80,2.59,0.04,0.13,2018,1
319,Mousa Dembélé,Tottenham,10,518,0,0,0.03,0.00,0.01,0.0,2018,1
320,Michel Vorm,Tottenham,2,180,0,0,0.00,0.00,0.0,0.0,2018,1
321,Ben Davies,Tottenham,27,1831,0,0,0.57,2.25,0.03,0.11,2018,1
322,Carlos Sánchez,West Ham,7,233,0,0,0.06,0.05,0.02,0.02,2018,1
323,Idrissa Gueye,Everton,33,2828,0,2,0.59,0.93,0.02,0.03,2018,1
324,Leandro Bacuna,Cardiff,11,543,0,0,0.08,0.03,0.01,0.0,2018,1
325,Cesc Fàbregas,Chelsea,6,167,0,0,0.06,0.22,0.03,0.12,2018,1
326,Asmir Begovic,Bournemouth,24,2160,0,0,0.00,0.00,0.0,0.0,2018,1
327,Gary Cahill,Chelsea,2,22,0,0,0.00,0.00,0.0,0.0,2018,1
328,Lukasz Fabianski,West Ham,38,3420,0,0,0.00,0.08,0.0,0.0,2018,1
329,Federico Fernández,Newcastle United,19,1486,0,1,0.08,0.43,0.01,0.03,2018,1
330,Ki Sung-yueng,Newcastle United,18,1302,0,1,0.15,1.08,0.01,0.07,2018,1
331,Jermain Defoe,Bournemouth,4,13,0,0,0.13,0.00,0.91,0.0,2018,1
332,Jordan Pickford,Everton,38,3420,0,0,0.00,0.04,0.0,0.0,2018,1
333,Kasper Schmeichel,Leicester,38,3420,0,0,0.08,0.29,0.0,0.01,2018,1
334,Danny Simpson,Leicester,6,288,0,0,0.00,0.03,0.0,0.01,2018,1
335,Christian Fuchs,Leicester,3,204,0,0,0.06,0.20,0.03,0.09,2018,1
336,Shinji Okazaki,Leicester,21,249,0,1,0.28,0.11,0.1,0.04,2018,1
337,Daniel Amartey,Leicester,9,637,0,0,0.47,0.11,0.07,0.02,2018,1
338,Daryl Janmaat,Watford,18,1524,0,2,0.47,0.58,0.03,0.03,2018,1
339,Jamaal Lascelles,Newcastle United,32,2751,0,1,0.40,1.20,0.01,0.04,2018,1
340,Moussa Sissoko,Tottenham,29,2344,0,3,0.96,2.79,0.04,0.11,2018,1
341,Ben Chilwell,Leicester,36,3240,0,4,0.97,3.07,0.03,0.09,2018,1
342,John Ruddy,Wolverhampton Wanderers,1,90,0,0,0.00,0.00,0.0,0.0,2018,1
343,Robbie Brady,Burnley,16,701,0,1,0.68,1.03,0.09,0.13,2018,1
344,Ben Foster,Watford,38,3420,0,0,0.02,0.21,0.0,0.01,2018,1
345,Fraser Forster,Southampton,1,90,0,0,0.00,0.00,0.0,0.0,2018,1
346,Maya Yoshida,Southampton,17,1520,0,1,1.83,1.07,0.11,0.06,2018,1
347,Paul Dummett,Newcastle United,26,1976,0,0,0.28,0.35,0.01,0.02,2018,1
348,Phil Bardsley,Burnley,19,1677,0,0,0.25,1.29,0.01,0.07,2018,1
349,Peter Crouch,Burnley,6,73,0,0,0.61,0.00,0.75,0.0,2018,1
350,Fabian Delph,Manchester City,11,723,0,1,0.07,0.39,0.01,0.05,2018,1
351,Samir Nasri,West Ham,5,244,0,2,0.13,0.55,0.05,0.2,2018,1
352,Harry Arter,Cardiff,25,2033,0,1,0.80,0.72,0.04,0.03,2018,1
353,Steven Davis,Southampton,3,96,0,1,0.00,0.45,0.0,0.42,2018,1
354,Kyle Walker-Peters,Tottenham,6,372,0,3,0.35,0.48,0.08,0.12,2018,1
355,Carl Jenkinson,Arsenal,3,166,0,0,0.00,0.06,0.0,0.03,2018,1
356,Phil Jones,Manchester United,18,1266,0,1,0.55,0.82,0.04,0.06,2018,1
357,Joe Bennett,Cardiff,30,2648,0,1,0.52,0.80,0.02,0.03,2018,1
358,Alex Oxlade-Chamberlain,Liverpool,2,17,0,0,0.47,0.12,2.47,0.61,2018,1
359,Paulo Gazzaniga,Tottenham,3,270,0,0,0.00,0.00,0.0,0.0,2018,1
360,Mason Holgate,Everton,5,407,0,0,0.00,0.00,0.0,0.0,2018,1
361,Joseph Gomez,Liverpool,16,1052,0,0,0.23,0.42,0.02,0.04,2018,1
362,Tyrone Mings,Bournemouth,5,137,0,0,0.00,0.06,0.0,0.04,2018,1
363,Jack Wilshere,West Ham,8,384,0,1,0.18,0.53,0.04,0.13,2018,1
364,Tom Davies,Everton,16,973,0,0,0.31,0.59,0.03,0.05,2018,1
365,Jonjoe Kenny,Everton,10,791,0,1,0.09,0.84,0.01,0.1,2018,1
366,Davide Zappacosta,Chelsea,4,119,0,0,0.15,0.13,0.12,0.1,2018,1
367,Antonio Barreca,Newcastle United,1,3,0,0,0.00,0.00,0.0,0.0,2018,1
368,Wesley Hoedt,Southampton,13,1170,0,0,0.59,0.02,0.05,0.0,2018,1
369,Emerson,Chelsea,10,653,0,0,0.27,0.60,0.04,0.08,2018,1
370,Alisson,Liverpool,38,3420,0,0,0.00,0.00,0.0,0.0,2018,1
371,Stephan Lichtsteiner,Arsenal,14,953,0,0,0.02,0.09,0.0,0.01,2018,1
372,Adam Masina,Watford,14,1004,0,1,0.05,0.69,0.0,0.06,2018,1
373,Tom Heaton,Burnley,19,1710,0,0,0.06,0.04,0.0,0.0,2018,1
374,Matthew Lowton,Burnley,21,1743,0,0,0.83,0.50,0.04,0.03,2018,1
375,Ben Mee,Burnley,38,3420,0,2,1.15,1.52,0.03,0.04,2018,1
376,Stephen Ward,Burnley,3,235,0,0,0.08,0.05,0.03,0.02,2018,1
377,Steven Defour,Burnley,6,459,0,0,0.00,0.05,0.0,0.01,2018,1
378,Nathaniel Chalobah,Watford,9,264,0,0,0.08,0.22,0.03,0.08,2018,1
379,Dominic Solanke,Bournemouth,10,322,0,1,0.80,0.36,0.22,0.1,2018,1
380,Andrew Robertson,Liverpool,36,3223,0,11,0.86,8.06,0.02,0.22,2018,1
381,Javier Manquillo,Newcastle United,18,1098,0,3,0.08,0.68,0.01,0.06,2018,1
382,Christian Kabasele,Watford,21,1585,0,0,1.54,0.18,0.09,0.01,2018,1
383,Alfie Mawson,Fulham,15,1124,0,0,0.32,0.05,0.03,0.0,2018,1
384,Georges-Kévin Nkoudou,Tottenham,1,3,0,1,0.00,0.61,0.0,18.23,2018,1
385,Vincent Janssen,Tottenham,3,34,0,0,0.31,0.00,0.81,0.0,2018,1
386,Eric Bailly,Manchester United,12,639,0,0,0.25,0.00,0.04,0.0,2018,1
387,Kevin Long,Burnley,6,514,0,1,0.03,0.41,0.01,0.07,2018,1
388,Rob Holding,Arsenal,10,807,0,0,0.12,0.17,0.01,0.02,2018,1
389,Ben Hamer,Huddersfield,7,552,0,0,0.00,0.00,0.0,0.0,2018,1
390,Arthur Masuaku,West Ham,23,1759,0,1,0.07,1.02,0.0,0.05,2018,1
391,Stefano Okaka,Watford,2,18,0,0,0.56,0.15,2.78,0.75,2018,1
392,Ramadan Sobhi,Huddersfield,4,68,0,0,0.00,0.18,0.0,0.23,2018,1
393,Nampalys Mendy,Leicester,31,2085,0,0,0.07,0.22,0.0,0.01,2018,1
394,Lewis Cook,Bournemouth,13,718,0,0,0.13,0.06,0.02,0.01,2018,1
395,Martín Montoya,Brighton,25,2165,0,1,0.19,1.18,0.01,0.05,2018,1
396,Vicente Iborra,Leicester,8,220,0,0,0.27,0.10,0.11,0.04,2018,1
397,Sergio Rico,Fulham,29,2610,0,0,0.00,0.08,0.0,0.0,2018,1
398,Vicente Guaita,Crystal Palace,20,1754,0,0,0.00,0.00,0.0,0.0,2018,1
399,Mateo Kovacic,Chelsea,32,1756,0,2,2.02,2.01,0.1,0.1,2018,1
400,Denis Suárez,Arsenal,4,59,0,0,0.00,0.00,0.0,0.0,2018,1
401,Mat Ryan,Brighton,34,3060,0,0,0.00,0.00,0.0,0.0,2018,1
402,Fabri,Fulham,2,180,0,0,0.00,0.00,0.0,0.0,2018,1
403,Erik Durm,Huddersfield,28,2049,0,1,0.28,0.47,0.01,0.02,2018,1
404,Oleksandr Zinchenko,Manchester City,14,1153,0,3,0.21,1.72,0.02,0.13,2018,1
405,Maxime Le Marchand,Fulham,26,2251,0,1,0.16,0.81,0.01,0.03,2018,1
406,Benjamin Mendy,Manchester City,10,900,0,5,0.23,2.05,0.02,0.2,2018,1
407,Jonas Lössl,Huddersfield,31,2778,0,1,0.00,0.39,0.0,0.01,2018,1
408,Serge Aurier,Tottenham,8,566,0,2,0.14,1.26,0.02,0.2,2018,1
409,Lazar Markovic,Fulham,1,42,0,0,0.00,0.01,0.0,0.03,2018,1
410,Jazz Richards,Cardiff,4,117,0,0,0.00,0.00,0.0,0.0,2018,1
411,Mohamed Diamé,Newcastle United,29,2172,0,0,1.05,0.13,0.04,0.01,2018,1
412,Sam Gallagher,Southampton,4,30,0,0,0.00,0.00,0.0,0.0,2018,1
413,Bruno Ecuele Manga,Cardiff,38,3374,0,1,1.21,0.29,0.03,0.01,2018,1
414,Kepa,Chelsea,36,3240,0,0,0.00,0.00,0.0,0.0,2018,1
415,Diego Rico,Bournemouth,12,600,0,0,0.18,1.22,0.03,0.18,2018,1
416,Florian Lejeune,Newcastle United,12,1057,0,0,0.28,0.29,0.02,0.02,2018,1
417,Marc Navarro,Watford,2,87,0,0,0.00,0.00,0.0,0.0,2018,1
418,Florent Hadergjonaj,Huddersfield,24,1843,0,0,0.22,1.38,0.01,0.07,2018,1
419,Bernardo,Brighton,22,1740,0,1,0.35,0.58,0.02,0.03,2018,1
420,Caglar Söyüncü,Leicester,6,373,0,0,0.06,0.00,0.01,0.0,2018,1
421,Angus Gunn,Southampton,12,1080,0,0,0.00,0.00,0.0,0.0,2018,1
422,Ademola Lookman,Everton,21,575,0,2,1.57,1.61,0.25,0.25,2018,1
423,Josh Sims,Southampton,7,205,0,1,0.77,0.70,0.34,0.31,2018,1
424,Aaron Wan-Bissaka,Crystal Palace,35,3136,0,3,0.37,2.29,0.01,0.07,2018,1
425,Angel Gomes,Manchester United,2,23,0,0,0.11,0.00,0.42,0.0,2018,1
426,Sam Surridge,Bournemouth,2,9,0,0,0.38,0.04,3.79,0.38,2018,1
427,Yves Bissouma,Brighton,28,1757,0,0,1.78,0.99,0.09,0.05,2018,1
428,Adama Diakhaby,Huddersfield,12,560,0,0,0.87,0.54,0.14,0.09,2018,1
429,Matteo Guendouzi,Arsenal,33,2132,0,0,0.48,1.50,0.02,0.06,2018,1
430,Fousseni Diabate,Leicester,1,55,0,0,0.00,0.08,0.0,0.12,2018,1
431,Tommy Smith,Huddersfield,15,1138,0,0,0.08,0.39,0.01,0.03,2018,1
432,Chris Löwe,Huddersfield,29,2052,0,2,0.49,1.78,0.02,0.08,2018,1
433,Collin Quaner,Huddersfield,2,34,0,0,0.00,0.10,0.0,0.26,2018,1
434,Rajiv van La Parra,Huddersfield,5,411,0,0,0.24,0.07,0.05,0.02,2018,1
435,Danny Williams,Huddersfield,5,94,0,0,0.02,0.03,0.01,0.03,2018,1
436,Laurent Depoitre,Huddersfield,23,1039,0,1,2.67,0.46,0.23,0.04,2018,1
437,Joel Coleman,Huddersfield,1,90,0,0,0.00,0.00,0.0,0.0,2018,1
438,Jan Bednarek,Southampton,25,2150,0,1,0.84,0.62,0.04,0.03,2018,1
439,Charlie Taylor,Burnley,38,3238,0,1,0.11,1.45,0.0,0.04,2018,1
440,Bruno,Brighton,14,1150,0,1,0.07,0.59,0.01,0.05,2018,1
441,Ederson,Manchester City,38,3420,0,1,0.00,0.07,0.0,0.0,2018,1
442,Jacob Murphy,Newcastle United,9,293,0,1,0.03,0.61,0.01,0.19,2018,1
443,Gaëtan Bong,Brighton,22,1802,0,0,0.07,0.48,0.0,0.02,2018,1
444,José Izquierdo,Brighton,15,803,0,1,0.62,0.47,0.07,0.05,2018,1
445,Abdelhamid Sabiri,Huddersfield,2,51,0,0,0.00,0.00,0.0,0.0,2018,1
446,Jonathan Hogg,Huddersfield,29,2392,0,1,0.26,0.73,0.01,0.03,2018,1
447,Jack Simpson,Bournemouth,6,407,0,0,0.37,0.00,0.08,0.0,2018,1
448,Hamza Choudhury,Leicester,9,597,0,0,0.47,0.51,0.07,0.08,2018,1
449,Ben Johnson,West Ham,1,64,0,0,0.00,0.00,0.0,0.0,2018,1
450,Franck Zambo,Fulham,22,1515,0,0,0.65,0.25,0.04,0.01,2018,1
451,Callum Hudson-Odoi,Chelsea,10,390,0,1,0.99,1.57,0.23,0.36,2018,1
452,Emerson Hyndman,Bournemouth,1,34,0,0,0.00,0.00,0.0,0.0,2018,1
453,Adrien Silva,Leicester,2,86,0,0,0.00,0.00,0.0,0.0,2018,1
454,Alexander Sørloth,Crystal Palace,12,156,0,0,0.46,0.69,0.26,0.4,2018,1
455,Martin Dubravka,Newcastle United,38,3420,0,0,0.00,0.00,0.0,0.0,2018,1
456,Joe Willock,Arsenal,2,66,0,0,0.13,0.00,0.18,0.0,2018,1
457,Grady Diangana,West Ham,17,602,0,1,0.64,1.22,0.1,0.18,2018,1
458,Rafael Camacho,Liverpool,1,1,0,0,0.00,0.00,0.0,0.0,2018,1
459,Konstantinos Mavropanos,Arsenal,4,149,0,0,0.10,0.57,0.06,0.34,2018,1
460,Luke Amos,Tottenham,1,1,0,0,0.00,0.00,0.0,0.0,2018,1
461,Neil Etheridge,Cardiff,38,3420,0,0,0.00,0.09,0.0,0.0,2018,1
462,Lee Peltier,Cardiff,20,1539,0,0,0.04,0.07,0.0,0.0,2018,1
463,Joe Ralls,Cardiff,28,1961,0,0,1.37,3.60,0.06,0.17,2018,1
464,Gary Madine,Cardiff,5,23,0,0,0.00,0.00,0.0,0.0,2018,1
465,Greg Cunningham,Cardiff,7,630,0,0,0.07,0.22,0.01,0.03,2018,1
466,Cyrus Christie,Fulham,28,1932,0,1,0.39,1.20,0.02,0.06,2018,1
467,Joe Bryan,Fulham,28,2364,0,1,0.55,4.40,0.02,0.17,2018,1
468,Kevin McDonald,Fulham,15,843,0,0,0.11,0.10,0.01,0.01,2018,1
469,Stefan Johansen,Fulham,12,406,0,0,0.04,0.05,0.01,0.01,2018,1
470,Ibrahima Cissé,Fulham,3,85,0,0,0.00,0.00,0.0,0.0,2018,1
471,Neeskens Kebano,Fulham,7,93,0,0,0.05,0.00,0.05,0.0,2018,1
472,Alireza Jahanbakhsh,Brighton,19,1021,0,0,0.70,0.19,0.06,0.02,2018,1
473,David Button,Brighton,4,360,0,0,0.00,0.00,0.0,0.0,2018,1
474,Rui Patrício,Wolverhampton Wanderers,37,3330,0,0,0.00,0.00,0.0,0.0,2018,1
475,Conor Coady,Wolverhampton Wanderers,38,3420,0,0,0.00,0.01,0.0,0.0,2018,1
476,Léo Bonatini,Wolverhampton Wanderers,7,117,0,1,1.55,0.16,1.19,0.12,2018,1
477,Rúben Vinagre,Wolverhampton Wanderers,17,697,0,0,0.45,0.87,0.06,0.11,2018,1
478,Morgan Gibbs-White,Wolverhampton Wanderers,26,628,0,1,0.99,1.30,0.14,0.19,2018,1
479,Mohamed Elyounoussi,Southampton,16,786,0,0,2.21,1.14,0.25,0.13,2018,1
480,Marcus Bettinelli,Fulham,7,630,0,0,0.00,0.00,0.0,0.0,2018,1
481,Denis Odoi,Fulham,31,2591,0,1,0.72,0.57,0.03,0.02,2018,1
482,Tim Ream,Fulham,26,2057,0,0,0.02,0.24,0.0,0.01,2018,1
483,Oliver Skipp,Tottenham,8,207,0,0,0.06,0.03,0.02,0.01,2018,1
484,Loïc Damour,Cardiff,2,17,0,0,0.03,0.00,0.17,0.0,2018,1
485,Ben Wilmot,Watford,2,24,0,0,0.00,0.00,0.0,0.0,2018,1
486,Diogo Dalot,Manchester United,16,1015,0,2,0.72,2.73,0.06,0.24,2018,1
487,Xande Silva,West Ham,1,15,0,0,0.07,0.01,0.42,0.08,2018,1
488,Tyreke Johnson,Southampton,1,1,0,0,0.00,0.00,0.0,0.0,2018,1
489,Bukayo Saka,Arsenal,1,6,0,0,0.00,0.00,0.0,0.0,2018,1
